STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count,Cluster,PCA1,PCA2
WA,Seattle,2001 Sixth Avenue (SEA10),19.5,398600,13.65,1.75,1,1,1,1,1,1,1,1,1981.0,10,1,-1.1858305105027465,1.323335685563037
WA,Seattle,The Westin Building,19.0,300000,13.3,1.75,0,0,0,0,0,0,0,0,1981.0,10,2,7.717767291530131,-1.5215545772216226
WA,Seattle,ColoCrossing SEA1,10.0,18000,7.0,1.75,1,1,1,1,1,1,1,1,1999.0,10,1,-1.4877981761918404,-0.16483346458766507
WA,Seattle,ColoInSeattle.com,2.0,18000,1.4,1.75,1,1,1,1,1,1,1,1,2001.0,10,1,-1.5892208747249164,-0.47959585846965913
VA,Ashburn,43830 Devin Shafron Drive (IAD24),6.8,57700,4.76,1.15,0,0,0,0,0,0,0,0,2011.0,12,2,8.640156135256298,-3.1287680370623394
VA,Ashburn,"44274 Round Table Plaza, Bldg L (IAD39)",96.3,469600,67.41,1.15,0,0,0,0,0,0,0,0,2017.0,12,2,10.177173573427739,1.8986816813694494
VA,Ashburn,"44372 Round Table Plaza, Bldg M (IAD40)",24.0,69600,16.8,1.15,0,0,0,0,0,0,0,0,2017.0,12,2,8.91294219505059,-2.345712374940552
VA,Ashburn,43791 Devin Shafron Drive (IAD14),6.9,51400,4.83,1.15,0,0,0,0,0,0,0,0,2010.0,12,2,8.632810219179499,-3.151452567508767
VA,Ashburn,43881 Devin Shafron Drive (IAD12),9.0,57100,6.3,1.15,0,0,0,0,0,0,0,0,2001.0,12,2,8.624683532006415,-3.106734166869104
VA,Ashburn,43940 Digital Loudoun Plaza (IAD35),26.4,223800,18.48,1.15,0,0,0,0,0,0,0,0,2013.0,12,2,9.03023886509513,-1.7803750992446312
VA,Ashburn,"22124 Broderick Drive, Bldg R (IAD42)",48.0,208200,33.6,1.15,0,0,0,0,0,0,0,0,2021.0,12,2,9.354652740441404,-0.8916615866417462
VA,Ashburn,NTT Ashburn VA1,12.6,64723,8.82,1.15,0,0,0,0,0,0,0,0,2000.0,12,2,8.674927769740167,-2.9413603112533284
VA,Ashburn,Aligned IAD-02,120.0,283023,84.0,1.15,0,0,0,0,0,0,0,0,2020.0,12,2,10.394402955270909,2.2932545713498116
CA,Los Angeles,600 West 7th Street (LAX10),9.0,70300,6.3,1.22,1,1,1,1,1,1,1,1,1934.0,37,1,-0.581091744970998,-1.193474273130541
CA,Los Angeles,2260 E El Segundo Blvd (LAX12),7.1,66800,4.97,1.22,1,1,1,1,1,1,1,1,1979.0,37,1,-0.4050634380910303,-0.9844541220891331
CA,Los Angeles,Hivelocity - Los Angeles 2,10.0,490000,7.0,1.22,1,1,1,1,1,1,1,1,2000.0,37,1,0.011316954776856843,0.6277962559094065
CA,Los Angeles,West 7 Center,16.9,150000,11.83,1.22,1,1,1,1,1,0,1,1,2016.0,37,1,0.05284141836988309,-0.8048166883063766
CA,Los Angeles,Prime Los Angeles,33.0,110310,23.1,1.22,1,1,1,1,1,1,1,1,2024.0,37,1,0.18620407433999978,0.5148387649707155
CA,Los Angeles,Converge Technology Solutions Data Center,1.0,6000,0.7,1.22,1,1,1,1,1,1,1,1,2006.0,37,1,-0.4069201636549052,-1.2502471462089477
CA,Los Angeles,Crown Castle Los Angeles LA1,1.0,18400,0.7,1.22,1,1,1,1,1,1,1,1,1998.0,37,1,-0.4350644824515943,-1.2635673076332323
CA,Los Angeles,Crown Castle Los Angeles LA2,1.0,6491,0.7,1.22,1,1,1,1,1,1,1,1,2005.0,37,1,-0.41114096477848294,-1.2553009210642057
CA,Los Angeles,Subrigo - 650 South Grand,2.0,6000,1.4,1.22,1,1,1,1,1,1,1,1,1998.0,37,1,-0.42947873083245786,-1.26224523924595
CA,Los Angeles,Prime Sacramento Data Center Campus,26.0,114711,18.2,1.22,1,1,1,1,1,1,1,1,2019.0,37,1,0.06968998194593191,0.20878624354056594
CA,Los Angeles,Quest Roseville HABC,8.0,20000,5.6,1.22,1,1,1,1,1,1,1,1,2014.0,37,1,-0.26455511495401257,-0.8654373507747675
CA,Los Angeles,Quest McClellan BRC,6.0,30,4.2,1.22,1,1,1,1,1,1,1,1,2008.0,37,1,-0.3327161623745501,-1.0510932945452187
CA,Los Angeles,Conscious Data Centers,5.0,50000,3.5,1.22,1,1,1,1,1,1,1,1,2019.0,37,1,-0.26335718595471175,-0.859318478585179
CA,Santa Clara,1100 Space Park Dr (SJC10),6.3,67900,4.41,1.5,1,1,0,1,1,0,1,1,2001.0,12,1,-0.33328474567485367,-0.4176735676461888
CA,Santa Clara,3205 Alfred St (SJC35),6.0,34200,4.2,1.5,1,1,0,1,1,0,1,1,2018.0,12,1,-0.2824999384797559,-0.42518837136508975
CA,Santa Clara,3105 Alfred Rd (SJC30),4.5,26900,3.15,1.5,1,1,0,1,1,0,1,1,1974.0,12,1,-0.5081178678102224,-0.8015483345148098
CA,Santa Clara,1201 Comstock St (SJC15),2.2,14000,1.54,1.5,1,1,0,1,1,0,1,1,2009.0,12,1,-0.38931960628850326,-0.705257934668969
CA,Santa Clara,2820 Northwestern Pkwy (SJC34),5.7,22700,3.99,1.5,1,1,0,1,1,0,1,1,2012.0,12,1,-0.3215555805307045,-0.5140380635495713
CA,Santa Clara,1525 Comstock St (SJC16),4.5,65500,3.15,1.5,1,1,0,1,1,0,1,1,1980.0,12,1,-0.45522278733006344,-0.6382802634570365
CA,Santa Clara,2220 De La Cruz Blvd (SC1),52.6,238900,36.82,1.5,1,1,0,1,1,0,1,1,2011.0,12,0,0.4652697584752014,2.0941398476690796
CA,Santa Clara,2805 Lafayette St (SJC31),9.3,55800,6.51,1.5,1,1,0,1,1,0,1,1,1984.0,12,1,-0.37716367873490647,-0.4460126520138057
CA,Santa Clara,3011 Lafayette St (SJC11),6.0,51000,4.2,1.5,1,1,0,1,1,0,1,1,2001.0,12,1,-0.3486440759478615,-0.48405330567353755
CA,Santa Clara,CoreSite Silicon Valley (SV9),34.0,228000,23.8,1.5,1,0,0,1,1,0,0,0,2025.0,12,2,5.380552474591968,0.5610634018044606
CA,Los Angeles,Prime Los Angeles LAX01-01,33.0,110310,23.1,1.5,0,0,0,0,1,0,1,1,2024.0,12,2,4.460805842134802,-0.052250528681470634
TX,Dallas,4025 Midway Rd (DFW11),13.1,13000,9.17,1.6,1,1,1,1,0,0,1,1,2008.0,6,1,-0.7687675509381677,-1.4454779664281163
TX,Dallas,8435 Stemmons Freeway (DFW36),5.7,29000,3.99,1.6,1,1,1,1,0,0,1,1,2003.0,6,1,-0.883110247947754,-1.730814799347193
TX,Dallas,2323 Bryan Street (DFW10),13.9,134000,9.73,1.6,1,1,1,1,0,0,1,1,2002.0,6,1,-0.7046991376139264,-1.0652316378443258
TX,Dallas,1232 Alma Road (DFW16),12.2,14000,8.54,1.6,1,1,1,1,0,0,1,1,2002.0,6,1,-0.8078167855598424,-1.518929116201394
TX,Dallas,900 Quality Way (DFW17),5.2,80000,3.64,1.6,1,1,1,1,0,0,1,1,2000.0,6,1,-0.8698133668653061,-1.607992612403107
TX,Dallas,850 E. Collins Boulevard (DFW28),11.7,110000,8.19,1.6,1,1,1,1,0,0,1,1,2017.0,6,1,-0.6828181363123047,-1.1328596860059257
TX,Dallas,2440 Marsh Lane (DFW12),9.0,72000,6.3,1.6,1,1,1,1,0,0,1,1,2008.0,6,1,-0.7862540881991217,-1.42478679604531
TX,Dallas,Hivelocity - Dallas 1,4.1,5000,2.67,1.6,1,1,1,0,0,0,1,1,2007.0,6,1,0.23738539728979763,-2.428701362101867
TX,Dallas,Cologix DAL2,11.1,50000,7.55,1.6,1,1,1,1,0,0,1,1,2005.0,6,1,-0.7875441438715491,-1.4352432859809792
